"Core","cum","max","mean","median","sd","cv","se","n","Core_assignment","coreID","Site","location","drying","length","replicate"
"1",0.000173666736204267,3.78958214166285e-06,2.31555648272356e-06,2.35748151159847e-06,1.22923507295186e-06,0.530859463858138,1.41939840053218e-07,75,"CPCRW_90d_up_FAD_r1","C1","CPCRW","upland","forced","90 day",1
"13",7.31885466646658e-05,1.30049739909637e-06,7.62380694423602e-07,6.86234110191289e-07,4.13980638171358e-07,0.543010389952683,4.22517219546489e-08,96,"CPCRW_150d_up_CW_r2","C13","CPCRW","upland","constant weight","150 day",2
"16",5.3149764375442e-05,1.15195467342911e-06,6.10916831901632e-07,5.03386622778989e-07,4.07405192517589e-07,0.666875049504591,4.36784213656112e-08,87,"CPCRW_30d_up_FAD_r2","C16","CPCRW","upland","forced","30 day",2
"18",7.43727434696569e-05,1.51078072455404e-06,7.74716077808926e-07,7.69028052870206e-07,7.12556377866429e-07,0.919764541200309,7.2724980780773e-08,96,"CPCRW_90d_up_FAD_r3","C18","CPCRW","upland","forced","90 day",3
"26",4.9298165286235e-05,1.00815886373791e-06,5.30087798776721e-07,4.71432467273971e-07,3.70736054074075e-07,0.699386129863051,3.84435379569782e-08,93,"CPCRW_150d_up_CW_r3","C26","CPCRW","upland","constant weight","150 day",3
"27",0.00030913632008762,6.65994472066359e-06,2.76014571506804e-06,1.98937602934377e-06,2.59175145120732e-06,0.938990806557266,2.44897492856618e-07,112,"CPCRW_30d_up_FAD_r3","C27","CPCRW","upland","forced","30 day",3
"28",4.34293175033302e-05,8.85449308798444e-07,4.66981908637959e-07,3.33146026945597e-07,3.03875428486068e-07,0.650722057675379,3.15104140555563e-08,93,"CPCRW_150d_up_CW_r1","C28","CPCRW","upland","constant weight","150 day",1
"37",0.000466640079559891,6.56504367179301e-06,2.77761952118983e-06,2.51917145755808e-06,1.84713636355485e-06,0.665006977904448,1.42509664366655e-07,168,"CPCRW_90d_up_FAD_r4","C37","CPCRW","upland","forced","90 day",4
"39",0.000313503979842796,9.87577453106274e-06,3.73219023622376e-06,1.07742078442575e-06,4.38366521495154e-06,1.17455567307495,4.78297087353817e-07,84,"CPCRW_30d_up_FAD_r4","C39","CPCRW","upland","forced","30 day",4
"4",6.09147454684073e-05,8.99466365157719e-07,6.34528598629243e-07,8.02766579065168e-07,3.10456243386501e-07,0.489270687022102,3.1685807656593e-08,96,"CPCRW_150d_up_CW_r4","C4","CPCRW","upland","constant weight","150 day",4
"44",0.000471009764166758,1.0384256850979e-05,5.4139053352501e-06,5.39323912566186e-06,4.07334211023989e-06,0.752385174472527,4.36708113507082e-07,87,"CPCRW_30d_low_FAD_r3","C44","CPCRW","lowland","forced","30 day",3
"50",0.000420159438864684,6.08590534299091e-06,3.62206412814382e-06,3.64840317240648e-06,2.06330814868373e-06,0.569649811733483,1.91573352216646e-07,116,"CPCRW_30d_low_FAD_r1","C50","CPCRW","lowland","forced","30 day",1
"52",0.000198692757882227,6.48836256362587e-06,2.64923677176302e-06,9.48573096506406e-07,2.73886961333799e-06,1.03383345819834,3.16257421707194e-07,75,"CPCRW_90d_low_FAD_r3","C52","CPCRW","lowland","forced","90 day",3
"55",0.00012977937460394,2.36713862116619e-06,1.35186848545771e-06,9.28110784283885e-07,7.2494930447215e-07,0.536257270785258,7.39898285559305e-08,96,"CPCRW_150d_low_CW_r4","C55","CPCRW","lowland","constant weight","150 day",4
"56",0.000848174325481562,1.22068714624562e-05,7.06811937901301e-06,7.57699407593284e-06,4.04302530565961e-06,0.572008633253188,3.69076026745664e-07,120,"CPCRW_30d_low_FAD_r4","C56","CPCRW","lowland","forced","30 day",4
"6",4.78444982918619e-05,7.84230685795013e-07,5.49936761975425e-07,5.84112278360879e-07,2.0786808262294e-07,0.377985428499558,2.22857976972753e-08,87,"CPCRW_30d_up_FAD_r1","C6","CPCRW","upland","forced","30 day",1
"60",9.22443911672634e-05,2.97562552152462e-06,2.97562552152462e-06,2.97562552152462e-06,0,0,0,31,"CPCRW_150d_low_CW_r1","C60","CPCRW","lowland","constant weight","150 day",1
"62",0.000586990285680987,7.77011721119558e-06,4.73379262645957e-06,5.49476675129201e-06,2.95383017782304e-06,0.623988081208413,2.65261780611855e-07,124,"CPCRW_150d_low_CW_r2","C62","CPCRW","lowland","constant weight","150 day",2
"71",0.000126162270038968,3.07658368033718e-06,1.68216360051958e-06,1.55821550156041e-06,1.09881224947122e-06,0.653213664314115,1.26879909604213e-07,75,"CPCRW_90d_low_FAD_r4","C71","CPCRW","lowland","forced","90 day",4
"75",8.37279014316685e-05,1.63857569461114e-06,4.98380365664693e-07,1.78645911380016e-07,6.01852850165428e-07,1.20761749785775,4.64339554823793e-08,168,"CPCRW_30d_low_FAD_r2","C75","CPCRW","lowland","forced","30 day",2
"77",0.000684096334521541,1.96022810074686e-05,9.12128446028721e-06,6.32952168490493e-06,7.72783543724062e-06,0.847231052916564,8.92333573988801e-07,75,"CPCRW_90d_low_FAD_r1","C77","CPCRW","lowland","forced","90 day",1
