"Core","Sample_number","DATETIME","n","flux_co2_umol_s","flux_ch4_nmol_s","dry_soil_g","flux_co2_umol_g_s","flux_ch4_nmol_g_s","Core_assignment","coreID","Site","location","drying","length","replicate","mean","median","sd","outlier"
"1",1519,2019-04-15 22:57:43,7,0.000450676957919574,1.51044132631639e-20,100.13,4.50091838529485e-06,1.50848030192388e-22,"CPCRW_90d_up_FAD_r1","C1","CPCRW","upland","forced","90 day",1,4.50091838529485e-06,4.50091838529485e-06,0,FALSE
"1",1519,2019-04-15 22:57:43,7,0.000450676957919574,1.51044132631639e-20,100.13,4.50091838529485e-06,1.50848030192388e-22,"CPCRW_90d_up_FAD_r1","C1","CPCRW","upland","forced","90 day",1,4.50091838529485e-06,4.50091838529485e-06,0,FALSE
"1",1519,2019-04-15 22:57:43,7,0.000450676957919574,1.51044132631639e-20,100.13,4.50091838529485e-06,1.50848030192388e-22,"CPCRW_90d_up_FAD_r1","C1","CPCRW","upland","forced","90 day",1,4.50091838529485e-06,4.50091838529485e-06,0,FALSE
"1",1519,2019-04-15 22:57:43,7,0.000450676957919574,1.51044132631639e-20,100.13,4.50091838529485e-06,1.50848030192388e-22,"CPCRW_90d_up_FAD_r1","C1","CPCRW","upland","forced","90 day",1,4.50091838529485e-06,4.50091838529485e-06,0,FALSE
"1",1519,2019-04-15 22:57:43,7,0.000450676957919574,1.51044132631639e-20,100.13,4.50091838529485e-06,1.50848030192388e-22,"CPCRW_90d_up_FAD_r1","C1","CPCRW","upland","forced","90 day",1,4.50091838529485e-06,4.50091838529485e-06,0,FALSE
"1",1519,2019-04-15 22:57:43,7,0.000450676957919574,1.51044132631639e-20,100.13,4.50091838529485e-06,1.50848030192388e-22,"CPCRW_90d_up_FAD_r1","C1","CPCRW","upland","forced","90 day",1,4.50091838529485e-06,4.50091838529485e-06,0,FALSE
"1",1519,2019-04-15 22:57:43,7,0.000450676957919574,1.51044132631639e-20,100.13,4.50091838529485e-06,1.50848030192388e-22,"CPCRW_90d_up_FAD_r1","C1","CPCRW","upland","forced","90 day",1,4.50091838529485e-06,4.50091838529485e-06,0,FALSE
"1",1519,2019-04-15 22:57:43,7,0.000450676957919574,1.51044132631639e-20,100.13,4.50091838529485e-06,1.50848030192388e-22,"CPCRW_90d_up_FAD_r1","C1","CPCRW","upland","forced","90 day",1,4.50091838529485e-06,4.50091838529485e-06,0,FALSE
"1",1519,2019-04-15 22:57:43,7,0.000450676957919574,1.51044132631639e-20,100.13,4.50091838529485e-06,1.50848030192388e-22,"CPCRW_90d_up_FAD_r1","C1","CPCRW","upland","forced","90 day",1,4.50091838529485e-06,4.50091838529485e-06,0,FALSE
"1",1519,2019-04-15 22:57:43,7,0.000450676957919574,1.51044132631639e-20,100.13,4.50091838529485e-06,1.50848030192388e-22,"CPCRW_90d_up_FAD_r1","C1","CPCRW","upland","forced","90 day",1,4.50091838529485e-06,4.50091838529485e-06,0,FALSE
"1",1519,2019-04-15 22:57:43,7,0.000450676957919574,1.51044132631639e-20,100.13,4.50091838529485e-06,1.50848030192388e-22,"CPCRW_90d_up_FAD_r1","C1","CPCRW","upland","forced","90 day",1,4.50091838529485e-06,4.50091838529485e-06,0,FALSE
"1",1519,2019-04-15 22:57:43,7,0.000450676957919574,1.51044132631639e-20,100.13,4.50091838529485e-06,1.50848030192388e-22,"CPCRW_90d_up_FAD_r1","C1","CPCRW","upland","forced","90 day",1,4.50091838529485e-06,4.50091838529485e-06,0,FALSE
"1",1519,2019-04-15 22:57:43,7,0.000450676957919574,1.51044132631639e-20,100.13,4.50091838529485e-06,1.50848030192388e-22,"CPCRW_90d_up_FAD_r1","C1","CPCRW","upland","forced","90 day",1,4.50091838529485e-06,4.50091838529485e-06,0,FALSE
