DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               species                   MPVPosition               solenoid_valves           CH4                       CH4_dry                   CO2                       CO2_dry                   H2O                       h2o_reported              
2019-11-11                19:44:05.417              314.48895160              7547.734838               315.48895160              1573501445.418            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         4.9736303080E+001         5.0159747745E+001         4.8909826025E+002         4.9464639732E+002         6.6414509770E-001         8.4237431649E-001         
2019-11-11                19:44:56.575              314.48954370              7547.749049               315.48954370              1573501496.576            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         4.9736303080E+001         5.0159747745E+001         4.8865404699E+002         4.9418752064E+002         6.6414509770E-001         8.4237431649E-001         
2019-11-11                19:45:47.730              314.49013576              7547.763258               315.49013576              1573501547.730            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         4.9736303080E+001         5.0159747745E+001         4.8820778602E+002         4.9373868517E+002         6.6414509770E-001         8.4237431649E-001         
2019-11-11                19:46:38.829              314.49072720              7547.777453               315.49072720              1573501598.830            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         4.9736303080E+001         5.0159747745E+001         4.8777565006E+002         4.9328778067E+002         6.6414509770E-001         8.4237431649E-001         
2019-11-11                19:47:28.903              314.49130675              7547.791362               315.49130675              1573501648.903            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         4.9736303080E+001         5.0159747745E+001         4.8755990353E+002         4.9285114817E+002         6.6414509770E-001         8.4237431649E-001         
2019-11-11                19:48:21.072              314.49191056              7547.805853               315.49191056              1573501701.072            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         4.9736303080E+001         5.0159747745E+001         4.8751779436E+002         4.9263315672E+002         6.6414509770E-001         8.4237431649E-001         
2019-11-11                19:49:12.209              314.49250242              7547.820058               315.49250242              1573501752.209            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         4.9736303080E+001         5.0159747745E+001         4.8732338434E+002         4.9259060938E+002         6.6414509770E-001         8.4237431649E-001         
2019-11-11                19:50:03.308              314.49309384              7547.834252               315.49309384              1573501803.308            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         4.9736303080E+001         5.0159747745E+001         4.8690674334E+002         4.9239417645E+002         6.6414509770E-001         8.4237431649E-001         
2019-11-11                19:50:54.407              314.49368527              7547.848446               315.49368527              1573501854.407            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         4.9736303080E+001         5.0159747745E+001         4.8635398642E+002         4.9197320013E+002         6.6414509770E-001         8.4237431649E-001         
2019-11-11                19:51:45.601              314.49427779              7547.862667               315.49427779              1573501905.601            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         4.9736303080E+001         5.0159747745E+001         4.8578322820E+002         4.9141469156E+002         6.6414509770E-001         8.4237431649E-001         
2019-11-11                19:52:36.783              314.49487019              7547.876884               315.49487019              1573501956.784            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         4.9736303080E+001         5.0159747745E+001         4.8528635227E+002         4.9083799437E+002         6.6414509770E-001         8.4237431649E-001         
2019-11-11                19:53:27.882              314.49546161              7547.891079               315.49546161              1573502007.883            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         4.9736303080E+001         5.0159747745E+001         4.8486476416E+002         4.9033594825E+002         6.6414509770E-001         8.4237431649E-001         
2019-11-11                19:54:17.148              314.49603181              7547.904763               315.49603181              1573502057.148            0                         963                       1.0000000000E+000         1.0000000000E+000         0.0000000000E+000         4.9736303080E+001         5.0159747745E+001         6.5904836734E+002         4.8990997336E+002         6.6414509770E-001         8.4237431649E-001         
2019-11-11                19:55:09.299              314.49663541              7547.919250               315.49663541              1573502109.299            0                         963                       1.0000000000E+000         1.0000000000E+000         0.0000000000E+000         4.9736303080E+001         5.0159747745E+001         7.1222671624E+002         6.6590602565E+002         6.6414509770E-001         8.4237431649E-001         
2019-11-11                19:55:58.529              314.49720520              7547.932925               315.49720520              1573502158.529            0                         963                       1.0000000000E+000         1.6000000000E+001         0.0000000000E+000         4.9736303080E+001         5.0159747745E+001         5.3721702633E+002         7.1963771625E+002         6.6414509770E-001         8.4237431649E-001         
2019-11-11                19:56:50.686              314.49780887              7547.947413               315.49780887              1573502210.686            0                         963                       1.0000000000E+000         2.0000000000E+000         0.0000000000E+000         4.9736303080E+001         5.0159747745E+001         7.1532149050E+002         5.4280698147E+002         6.6414509770E-001         8.4237431649E-001         
2019-11-11                19:57:40.992              314.49839111              7547.961387               315.49839111              1573502260.992            0                         963                       1.0000000000E+000         2.0000000000E+000         0.0000000000E+000         4.9736303080E+001         5.0159747745E+001         8.2599489303E+002         7.2276469286E+002         6.6414509770E-001         8.4237431649E-001         
2019-11-11                19:58:32.154              314.49898326              7547.975598               315.49898326              1573502312.154            0                         963                       1.0000000000E+000         3.0000000000E+000         0.0000000000E+000         4.9736303080E+001         5.0159747745E+001         5.9379528008E+002         8.3458969582E+002         6.6414509770E-001         8.4237431649E-001         
2019-11-11                19:59:24.345              314.49958734              7547.990096               315.49958734              1573502364.346            0                         963                       1.0000000000E+000         3.0000000000E+000         0.0000000000E+000         4.9736303080E+001         5.0159747745E+001         6.0375762020E+002         5.9997395427E+002         6.6414509770E-001         8.4237431649E-001         
2019-11-11                20:00:15.463              314.50017898              7548.004296               315.50017898              1573502415.464            0                         963                       1.0000000000E+000         3.0000000000E+000         0.0000000000E+000         4.9736303080E+001         5.0159747745E+001         7.0184966511E+002         6.1003995647E+002         6.6414509770E-001         8.4237431649E-001         
2019-11-11                20:01:05.565              314.50075885              7548.018213               315.50075885              1573502465.565            0                         963                       1.0000000000E+000         4.0000000000E+000         0.0000000000E+000         4.9736303080E+001         5.0159747745E+001         7.1998641891E+002         7.0915268781E+002         6.6414509770E-001         8.4237431649E-001         
2019-11-11                20:01:57.776              314.50136316              7548.032716               315.50136316              1573502517.777            0                         963                       1.0000000000E+000         4.0000000000E+000         0.0000000000E+000         4.9736303080E+001         5.0159747745E+001         8.1166230501E+002         7.2747816169E+002         6.6414509770E-001         8.4237431649E-001         
2019-11-11                20:02:49.984              314.50196742              7548.047218               315.50196742              1573502569.985            0                         963                       1.0000000000E+000         4.0000000000E+000         0.0000000000E+000         4.9736303080E+001         5.0159747745E+001         7.7962755647E+002         8.2010797157E+002         6.6414509770E-001         8.4237431649E-001         
2019-11-11                20:03:42.177              314.50257150              7548.061716               315.50257150              1573502622.178            0                         963                       1.0000000000E+000         5.0000000000E+000         0.0000000000E+000         4.9736303080E+001         5.0159747745E+001         1.3401020371E+003         7.8773988883E+002         6.6414509770E-001         8.4237431649E-001         
2019-11-11                20:04:32.309              314.50315172              7548.075641               315.50315172              1573502672.309            0                         963                       1.0000000000E+000         5.0000000000E+000         0.0000000000E+000         4.9736303080E+001         5.0159747745E+001         1.4467383783E+003         1.3540463275E+003         6.6414509770E-001         8.4237431649E-001         
2019-11-11                20:05:25.497              314.50376734              7548.090416               315.50376734              1573502725.498            0                         963                       1.0000000000E+000         5.0000000000E+000         0.0000000000E+000         4.9736303080E+001         5.0159747745E+001         7.8882646961E+002         1.4617922620E+003         6.6414509770E-001         8.4237431649E-001         
